Progress(completed_rows=8, total_rows=4907, last_row_index=7)
Progress(completed_rows=3672, total_rows=4907, last_row_index=3963)
Progress(completed_rows=3680, total_rows=4907, last_row_index=3971)
Progress(completed_rows=3688, total_rows=4907, last_row_index=3979)
Progress(completed_rows=3696, total_rows=4907, last_row_index=3987)
Progress(completed_rows=3704, total_rows=4907, last_row_index=3995)
Progress(completed_rows=3712, total_rows=4907, last_row_index=4003)
Progress(completed_rows=3720, total_rows=4907, last_row_index=4011)
Progress(completed_rows=3728, total_rows=4907, last_row_index=4019)
Progress(completed_rows=3736, total_rows=4907, last_row_index=4027)
Progress(completed_rows=3744, total_rows=4907, last_row_index=4035)
Progress(completed_rows=3752, total_rows=4907, last_row_index=4044)
Progress(completed_rows=3760, total_rows=4907, last_row_index=4052)
Progress(completed_rows=3768, total_rows=4907, last_row_index=4060)
Progress(completed_rows=3776, total_rows=4907, last_row_index=4068)
Progress(completed_rows=3784, total_rows=4907, last_row_index=4076)
Progress(completed_rows=3792, total_rows=4907, last_row_index=4084)
Progress(completed_rows=3800, total_rows=4907, last_row_index=4092)
Progress(completed_rows=3808, total_rows=4907, last_row_index=4100)
Progress(completed_rows=3816, total_rows=4907, last_row_index=4108)
Progress(completed_rows=3824, total_rows=4907, last_row_index=4116)
Progress(completed_rows=3832, total_rows=4907, last_row_index=4124)
Progress(completed_rows=3840, total_rows=4907, last_row_index=4132)
Progress(completed_rows=3848, total_rows=4907, last_row_index=4140)
Progress(completed_rows=3856, total_rows=4907, last_row_index=4148)
Progress(completed_rows=3864, total_rows=4907, last_row_index=4156)
Progress(completed_rows=3872, total_rows=4907, last_row_index=4164)
Progress(completed_rows=3880, total_rows=4907, last_row_index=4172)
Progress(completed_rows=3888, total_rows=4907, last_row_index=4180)
Progress(completed_rows=3896, total_rows=4907, last_row_index=4188)
Progress(completed_rows=3904, total_rows=4907, last_row_index=4196)
Progress(completed_rows=3912, total_rows=4907, last_row_index=4204)
Progress(completed_rows=3920, total_rows=4907, last_row_index=4212)
Progress(completed_rows=3928, total_rows=4907, last_row_index=4220)
Progress(completed_rows=3936, total_rows=4907, last_row_index=4229)
Progress(completed_rows=3944, total_rows=4907, last_row_index=4237)
Progress(completed_rows=3952, total_rows=4907, last_row_index=4245)
Progress(completed_rows=3960, total_rows=4907, last_row_index=4253)
Progress(completed_rows=3968, total_rows=4907, last_row_index=4261)
Progress(completed_rows=3976, total_rows=4907, last_row_index=4269)
Progress(completed_rows=3984, total_rows=4907, last_row_index=4278)
Progress(completed_rows=3992, total_rows=4907, last_row_index=4287)
Progress(completed_rows=4000, total_rows=4907, last_row_index=4295)
Progress(completed_rows=4008, total_rows=4907, last_row_index=4303)
Progress(completed_rows=4016, total_rows=4907, last_row_index=4313)
Progress(completed_rows=4024, total_rows=4907, last_row_index=4321)
Progress(completed_rows=4032, total_rows=4907, last_row_index=4329)
Progress(completed_rows=4040, total_rows=4907, last_row_index=4337)
Progress(completed_rows=4048, total_rows=4907, last_row_index=4345)
Progress(completed_rows=4056, total_rows=4907, last_row_index=4353)
Progress(completed_rows=4064, total_rows=4907, last_row_index=4364)
Progress(completed_rows=4072, total_rows=4907, last_row_index=4373)
Progress(completed_rows=4080, total_rows=4907, last_row_index=4381)
Progress(completed_rows=4088, total_rows=4907, last_row_index=4389)
Progress(completed_rows=4096, total_rows=4907, last_row_index=4398)
Progress(completed_rows=4104, total_rows=4907, last_row_index=4409)
Progress(completed_rows=4112, total_rows=4907, last_row_index=4419)
Progress(completed_rows=4120, total_rows=4907, last_row_index=4427)
Progress(completed_rows=4128, total_rows=4907, last_row_index=4437)
Progress(completed_rows=4136, total_rows=4907, last_row_index=4445)
Progress(completed_rows=4144, total_rows=4907, last_row_index=4453)
Progress(completed_rows=4152, total_rows=4907, last_row_index=4462)
Progress(completed_rows=4160, total_rows=4907, last_row_index=4471)
Progress(completed_rows=4168, total_rows=4907, last_row_index=4480)
Progress(completed_rows=4176, total_rows=4907, last_row_index=4489)
Progress(completed_rows=4184, total_rows=4907, last_row_index=4498)
Progress(completed_rows=4192, total_rows=4907, last_row_index=4507)
Progress(completed_rows=4200, total_rows=4907, last_row_index=4521)
Progress(completed_rows=4208, total_rows=4907, last_row_index=4531)
Progress(completed_rows=4216, total_rows=4907, last_row_index=4539)
Progress(completed_rows=4224, total_rows=4907, last_row_index=4547)
Progress(completed_rows=4232, total_rows=4907, last_row_index=4556)
Progress(completed_rows=4240, total_rows=4907, last_row_index=4564)
Progress(completed_rows=4248, total_rows=4907, last_row_index=4572)
Progress(completed_rows=4256, total_rows=4907, last_row_index=4580)
Progress(completed_rows=4264, total_rows=4907, last_row_index=4588)
Progress(completed_rows=4272, total_rows=4907, last_row_index=4597)
Progress(completed_rows=4280, total_rows=4907, last_row_index=4607)
Progress(completed_rows=4288, total_rows=4907, last_row_index=4615)
Progress(completed_rows=4296, total_rows=4907, last_row_index=4623)
Progress(completed_rows=4304, total_rows=4907, last_row_index=4631)
Progress(completed_rows=4312, total_rows=4907, last_row_index=4639)
Progress(completed_rows=4320, total_rows=4907, last_row_index=4647)
Progress(completed_rows=4328, total_rows=4907, last_row_index=4655)
Progress(completed_rows=4336, total_rows=4907, last_row_index=4663)
Progress(completed_rows=4344, total_rows=4907, last_row_index=4671)
Progress(completed_rows=4352, total_rows=4907, last_row_index=4679)
Progress(completed_rows=4360, total_rows=4907, last_row_index=4687)
Progress(completed_rows=4368, total_rows=4907, last_row_index=4695)
Progress(completed_rows=4376, total_rows=4907, last_row_index=4703)
Progress(completed_rows=4384, total_rows=4907, last_row_index=4715)
Progress(completed_rows=4392, total_rows=4907, last_row_index=4723)
Progress(completed_rows=4400, total_rows=4907, last_row_index=4731)
Progress(completed_rows=4408, total_rows=4907, last_row_index=4740)
Progress(completed_rows=4416, total_rows=4907, last_row_index=4748)
Progress(completed_rows=4424, total_rows=4907, last_row_index=4756)
Progress(completed_rows=4432, total_rows=4907, last_row_index=4766)
Progress(completed_rows=4440, total_rows=4907, last_row_index=4776)
Progress(completed_rows=4448, total_rows=4907, last_row_index=4784)
Progress(completed_rows=4456, total_rows=4907, last_row_index=4794)
Progress(completed_rows=4464, total_rows=4907, last_row_index=4803)
Progress(completed_rows=4472, total_rows=4907, last_row_index=4812)
Progress(completed_rows=4480, total_rows=4907, last_row_index=4823)
Progress(completed_rows=4488, total_rows=4907, last_row_index=4834)
Progress(completed_rows=4496, total_rows=4907, last_row_index=4848)
Progress(completed_rows=4504, total_rows=4907, last_row_index=4858)
Progress(completed_rows=4512, total_rows=4907, last_row_index=4874)
Progress(completed_rows=4520, total_rows=4907, last_row_index=4887)
Progress(completed_rows=4528, total_rows=4907, last_row_index=4896)
Progress(completed_rows=4536, total_rows=4907, last_row_index=4909)
Progress(completed_rows=4544, total_rows=4907, last_row_index=4923)
Progress(completed_rows=4552, total_rows=4907, last_row_index=4936)
Progress(completed_rows=4560, total_rows=4907, last_row_index=4952)
Progress(completed_rows=4568, total_rows=4907, last_row_index=4963)
Progress(completed_rows=4576, total_rows=4907, last_row_index=4971)
Progress(completed_rows=4584, total_rows=4907, last_row_index=4982)
Progress(completed_rows=4592, total_rows=4907, last_row_index=4993)
Progress(completed_rows=4600, total_rows=4907, last_row_index=5004)
Progress(completed_rows=4608, total_rows=4907, last_row_index=5013)
Progress(completed_rows=4616, total_rows=4907, last_row_index=5023)
Progress(completed_rows=4624, total_rows=4907, last_row_index=5033)
Progress(completed_rows=4632, total_rows=4907, last_row_index=5045)
Progress(completed_rows=4640, total_rows=4907, last_row_index=5056)
Progress(completed_rows=4648, total_rows=4907, last_row_index=5068)
Progress(completed_rows=4656, total_rows=4907, last_row_index=5077)
Progress(completed_rows=4664, total_rows=4907, last_row_index=5088)
Progress(completed_rows=4672, total_rows=4907, last_row_index=5097)
Progress(completed_rows=4680, total_rows=4907, last_row_index=5109)
Progress(completed_rows=4688, total_rows=4907, last_row_index=5119)
Progress(completed_rows=4696, total_rows=4907, last_row_index=5131)
Progress(completed_rows=4704, total_rows=4907, last_row_index=5148)
Progress(completed_rows=4712, total_rows=4907, last_row_index=5158)
Progress(completed_rows=4720, total_rows=4907, last_row_index=5169)
Progress(completed_rows=4728, total_rows=4907, last_row_index=5191)
Progress(completed_rows=4736, total_rows=4907, last_row_index=5211)
Progress(completed_rows=4744, total_rows=4907, last_row_index=5228)
Progress(completed_rows=4752, total_rows=4907, last_row_index=5261)
Progress(completed_rows=4760, total_rows=4907, last_row_index=5283)
Progress(completed_rows=4768, total_rows=4907, last_row_index=5307)
Progress(completed_rows=4776, total_rows=4907, last_row_index=5340)
Progress(completed_rows=4784, total_rows=4907, last_row_index=5363)
Progress(completed_rows=4792, total_rows=4907, last_row_index=5390)
Progress(completed_rows=4800, total_rows=4907, last_row_index=5410)
Progress(completed_rows=4808, total_rows=4907, last_row_index=5421)
Progress(completed_rows=4816, total_rows=4907, last_row_index=5454)
Progress(completed_rows=4824, total_rows=4907, last_row_index=5473)
Progress(completed_rows=4832, total_rows=4907, last_row_index=5488)
Progress(completed_rows=4840, total_rows=4907, last_row_index=5507)
Progress(completed_rows=4848, total_rows=4907, last_row_index=5519)
Progress(completed_rows=4856, total_rows=4907, last_row_index=5535)
Progress(completed_rows=4864, total_rows=4907, last_row_index=5552)
Progress(completed_rows=4872, total_rows=4907, last_row_index=5571)
Progress(completed_rows=4880, total_rows=4907, last_row_index=5583)
Progress(completed_rows=4888, total_rows=4907, last_row_index=5608)
Progress(completed_rows=4896, total_rows=4907, last_row_index=5641)
Progress(completed_rows=4904, total_rows=4907, last_row_index=5737)
Progress(completed_rows=4907, total_rows=4907, last_row_index=7947)
Progress(completed_rows=4907, total_rows=4907, last_row_index=7947)
